Gr_ID,Full Name,Email,Phone Number,Course,Branch,Registration Date,College,Field
GR0001,Ishaan Trivedi,ishaan.trivedi85@example.com,+91 7342605719,AI/ML & Data Science,RW8 - Dindoli,2026-02-25,L.D. College of Engineering,MCA
GR0002,Ramesh Gupta,ramesh.gupta87@example.com,+91 6952863125,Graphic | UI/UX,RW7 - Vesu,2026-02-15,VNSGU,B.Tech Computer Science
GR0003,Tara Desai,tara.desai18@example.com,+91 6321094881,Graphic | UI/UX,RW4 - Mota Varachha,2026-02-23,DDU,MCA
GR0004,Sai Shah,sai.shah43@example.com,+91 9269715764,Full Stack Development,RW5 - Ved Road,2026-02-14,Marwadi University,Diploma in IT
GR0005,Riya Mehta,riya.mehta26@example.com,+91 7470816306,Graphic | UI/UX,RWA1 - Nikol,2026-02-12,VNSGU,B.Sc IT
GR0006,Diya Verma,diya.verma28@example.com,+91 9027654010,Video Editing | 3D Animation,RWBH1 - Bharuch,2026-02-02,Marwadi University,M.Sc IT
GR0007,Vikram Vyas,vikram.vyas55@example.com,+91 9027417412,Full Stack Development,RW6 - Adajan,2026-02-23,RK University,B.Tech Computer Science
GR0008,Krishna Shah,krishna.shah82@example.com,+91 9254143323,AI/ML & Data Science,RW5 - Ved Road,2026-02-27,SVNIT,BBA
GR0009,Shaurya Sharma,shaurya.sharma62@example.com,+91 8562238172,AI/ML & Data Science,RWVN1 - Vidhyanagar,2026-02-10,DDU,M.Sc IT
GR0010,Sneha Shah,sneha.shah26@example.com,+91 7829507390,Graphic | Video Editing,RW2 - Yogi Chowk,2026-02-26,L.D. College of Engineering,M.Sc IT
GR0011,Sai Chauhan,sai.chauhan42@example.com,+91 7844579907,Graphic | UI/UX,RWA5 - Chandkheda,2026-02-28,MSU Baroda,B.Tech Computer Science
GR0012,Ishaan Mehta,ishaan.mehta89@example.com,+91 6863516748,Graphic | Video Editing,RW6 - Adajan,2026-02-20,RK University,B.Com
GR0013,Maya Patel,maya.patel31@example.com,+91 7025750253,Graphic | Video Editing,RWA1 - Nikol,2026-02-24,RK University,M.Sc IT
GR0014,Kriti Joshi,kriti.joshi25@example.com,+91 7861617077,Full Stack Development,RWNV1 - Navshari,2026-02-18,VNSGU,BCA
GR0015,Riya Joshi,riya.joshi34@example.com,+91 7853438092,Graphic | UI/UX,RW2 - Yogi Chowk,2026-02-06,MSU Baroda,Diploma in IT
GR0016,Sneha Patel,sneha.patel50@example.com,+91 9426423102,Graphic | UI/UX,RW7 - Vesu,2026-02-11,RK University,BCA
GR0017,Ishaan Rathod,ishaan.rathod10@example.com,+91 8351631689,Full Stack Development,RW8 - Dindoli,2026-02-03,Marwadi University,B.Tech Computer Science
GR0018,Vikram Kumar,vikram.kumar75@example.com,+91 7362611521,Graphic | UI/UX,RWGN1 - Gandhinagar,2026-02-26,DDU,B.Com
GR0019,Vihaan Singh,vihaan.singh52@example.com,+91 8599055101,Graphic | Video Editing,RWAM1 - Amreli,2026-02-03,Silver Oak University,MCA
GR0020,Kriti Joshi,kriti.joshi70@example.com,+91 7791080176,Graphic | UI/UX,RW5 - Ved Road,2026-02-01,MSU Baroda,B.Tech Computer Science
GR0021,Diya Singh,diya.singh55@example.com,+91 8654752798,AI/ML & Data Science,RWGN1 - Gandhinagar,2026-02-12,Nirma University,B.Sc IT
GR0022,Pooja Chauhan,pooja.chauhan67@example.com,+91 9441854684,Video Editing | 3D Animation,RW6 - Adajan,2026-02-15,MSU Baroda,BCA
GR0023,Tara Shah,tara.shah69@example.com,+91 7140302968,Graphic | UI/UX,RW5 - Ved Road,2026-02-06,Nirma University,BBA
GR0024,Vihaan Rathod,vihaan.rathod81@example.com,+91 9250154590,Video Editing | 3D Animation,RWA1 - Nikol,2026-02-14,L.D. College of Engineering,BBA
GR0025,Kriti Parmar,kriti.parmar35@example.com,+91 9010752195,AI/ML & Data Science,RW7 - Vesu,2026-02-23,SVNIT,MCA
GR0026,Vikram Shah,vikram.shah48@example.com,+91 9667348343,AI/ML & Data Science,RWMH - Maheshana,2026-02-27,Silver Oak University,B.Tech Computer Science
GR0027,Tara Singh,tara.singh32@example.com,+91 7101280059,Graphic | UI/UX,RWJN1 - Junagadh,2026-02-20,Gujarat University,B.Tech Computer Science
GR0028,Arjun Chauhan,arjun.chauhan16@example.com,+91 7320379761,Graphic | UI/UX,RWA5 - Chandkheda,2026-02-02,SVNIT,B.Com
GR0029,Vihaan Chauhan,vihaan.chauhan19@example.com,+91 7478853962,Graphic | UI/UX,RW5 - Ved Road,2026-02-16,Nirma University,B.Tech Computer Science
GR0030,Pooja Sharma,pooja.sharma69@example.com,+91 6866462130,Video Editing | 3D Animation,RWMH - Maheshana,2026-02-20,Gujarat University,BCA
GR0031,Riya Trivedi,riya.trivedi66@example.com,+91 6356915684,Graphic | Video Editing,RWR1 - Kotecha,2026-02-20,DDU,B.Sc IT
GR0032,Maya Singh,maya.singh80@example.com,+91 9354194617,Video Editing | 3D Animation,RW7 - Vesu,2026-02-16,VNSGU,Diploma in IT
GR0033,Arjun Parmar,arjun.parmar69@example.com,+91 6969280346,AI/ML & Data Science,RW7 - Vesu,2026-02-02,Silver Oak University,B.Tech Computer Science
GR0034,Tara Sharma,tara.sharma58@example.com,+91 9985212434,AI/ML & Data Science,RW5 - Ved Road,2026-02-17,RK University,MCA
GR0035,Shaurya Trivedi,shaurya.trivedi44@example.com,+91 6232770195,Video Editing | 3D Animation,RWJN1 - Junagadh,2026-02-27,L.D. College of Engineering,B.Tech Computer Science
GR0036,Maya Patel,maya.patel94@example.com,+91 7690324815,AI/ML & Data Science,RWGN1 - Gandhinagar,2026-02-14,L.D. College of Engineering,B.Tech Computer Science
GR0037,Arjun Trivedi,arjun.trivedi78@example.com,+91 7448519094,Video Editing | 3D Animation,RWBH1 - Bharuch,2026-02-24,L.D. College of Engineering,MCA
GR0038,Amit Patel,amit.patel94@example.com,+91 6146131717,Graphic | Video Editing,RWVN1 - Vidhyanagar,2026-02-14,L.D. College of Engineering,BBA
GR0039,Amit Shah,amit.shah74@example.com,+91 6609537157,Graphic | Video Editing,RW8 - Dindoli,2026-02-21,Silver Oak University,B.Com
GR0040,Sneha Sharma,sneha.sharma61@example.com,+91 7641448732,Graphic | Video Editing,RWJN1 - Junagadh,2026-02-19,Marwadi University,Diploma in IT
GR0041,Vivaan Kumar,vivaan.kumar32@example.com,+91 7040603516,Full Stack Development,RW1 - A.K Road,2026-02-05,Marwadi University,BCA
GR0042,Krishna Mehta,krishna.mehta18@example.com,+91 8657510730,Video Editing | 3D Animation,RW8 - Dindoli,2026-02-17,VNSGU,BBA
